user_id,date_served,marketing_channel,variant,language_displayed,language_preferred,age_group,date_subscribed,date_canceled
a100000029,1/1/2018,Youtube,personalization,English,English,0-18 years,1/1/2018,
a100000030,1/1/2018,Youtube,personalization,English,English,19-24 years,1/1/2018,
a100000031,1/1/2018,Youtube,personalization,English,English,24-30 years,1/1/2018,
a100000032,1/1/2018,Youtube,personalization,English,English,30-36 years,1/1/2018,
a100000033,1/1/2018,Youtube,personalization,English,English,36-45 years,1/1/2018,
a100000034,1/1/2018,Youtube,personalization,German,German,45-55 years,1/1/2018,
a100000035,1/1/2018,Youtube,personalization,English,English,55+ years,1/1/2018,
a100000036,1/1/2018,Youtube,personalization,English,English,0-18 years,1/1/2018,
a100000037,1/1/2018,Youtube,personalization,English,English,19-24 years,1/1/2018,
a100000038,1/1/2018,Youtube,personalization,English,English,24-30 years,1/1/2018,
a100000039,1/1/2018,Youtube,personalization,English,English,0-18 years,1/1/2018,
a100000040,1/1/2018,Youtube,personalization,English,English,19-24 years,1/1/2018,1/18/2018
a100000041,1/1/2018,Youtube,personalization,Arabic,Arabic,24-30 years,1/1/2018,2/22/2018
a100000042,1/1/2018,Youtube,personalization,English,English,0-18 years,1/1/2018,3/9/2018
a100000043,1/1/2018,Youtube,personalization,English,English,19-24 years,1/1/2018,2/18/2018
a100000044,1/1/2018,Youtube,personalization,Arabic,Arabic,24-30 years,1/1/2018,3/3/2018
a100000045,1/2/2018,Youtube,personalization,English,English,0-18 years,1/2/2018,2/4/2018
a100000046,1/2/2018,Youtube,personalization,English,English,19-24 years,1/2/2018,1/9/2018
a100000047,1/2/2018,Youtube,personalization,English,English,24-30 years,1/2/2018,2/4/2018
a100000048,1/2/2018,Youtube,personalization,German,German,0-18 years,1/2/2018,1/21/2018
a100000049,1/2/2018,Youtube,personalization,German,German,19-24 years,1/2/2018,
a100000050,1/2/2018,Youtube,personalization,English,English,24-30 years,1/2/2018,
a100000051,1/1/2018,Youtube,personalization,English,English,24-30 years,,
a100000052,1/2/2018,Youtube,personalization,English,English,30-36 years,1/2/2018,
a100000053,1/1/2018,LinkedIn,personalization,English,English,30-36 years,,
a100000054,1/2/2018,Youtube,personalization,English,English,36-45 years,1/2/2018,
a100000055,1/1/2018,Youtube,personalization,English,English,36-45 years,,
a100000056,1/2/2018,Youtube,personalization,English,English,45-55 years,1/2/2018,
a100000057,1/1/2018,Youtube,personalization,English,English,45-55 years,,
a100000058,1/2/2018,Youtube,personalization,English,English,55+ years,1/2/2018,
a100000059,1/1/2018,Youtube,personalization,English,English,55+ years,,
a100000060,1/2/2018,Youtube,personalization,English,English,0-18 years,1/2/2018,
a100000061,1/1/2018,LinkedIn,personalization,English,English,0-18 years,,
a100000062,1/2/2018,Youtube,personalization,English,English,19-24 years,1/2/2018,
a100000063,1/1/2018,Facebook,personalization,English,English,19-24 years,,
a100000064,1/2/2018,Youtube,personalization,English,English,24-30 years,1/2/2018,
a100000065,1/1/2018,Instagram,personalization,English,English,24-30 years,,
a100000066,1/2/2018,Youtube,personalization,English,English,0-18 years,1/2/2018,
a100000067,1/1/2018,Instagram,personalization,English,English,0-18 years,,
a100000068,1/2/2018,Youtube,personalization,English,English,19-24 years,1/2/2018,2/19/2018
a100000069,1/1/2018,Facebook,personalization,English,English,19-24 years,,
a100000070,1/2/2018,Youtube,personalization,German,German,24-30 years,1/2/2018,3/8/2018
a100000071,1/1/2018,Youtube,personalization,German,German,24-30 years,,
a100000072,1/2/2018,Youtube,personalization,English,English,0-18 years,1/2/2018,2/5/2018
a100000073,1/1/2018,Youtube,personalization,English,English,0-18 years,,
a100000074,1/3/2018,Youtube,personalization,English,English,19-24 years,1/3/2018,1/11/2018
a100000075,1/1/2018,Youtube,personalization,English,English,19-24 years,,
a100000076,1/3/2018,Youtube,personalization,English,English,24-30 years,1/3/2018,1/6/2018
a100000077,1/1/2018,Youtube,personalization,English,English,24-30 years,,
a100000078,1/3/2018,Youtube,personalization,English,English,0-18 years,1/3/2018,3/1/2018
a100000079,1/1/2018,LinkedIn,personalization,English,English,0-18 years,,
a100000080,1/3/2018,Youtube,personalization,English,English,19-24 years,1/3/2018,4/2/2018
a100000081,1/1/2018,Youtube,personalization,English,English,19-24 years,,
a100000082,1/3/2018,Youtube,personalization,English,English,24-30 years,1/3/2018,3/2/2018
a100000083,1/1/2018,Youtube,personalization,English,English,24-30 years,,
a100000084,1/3/2018,Youtube,control,English,English,0-18 years,1/3/2018,1/5/2018
a100000085,1/3/2018,Youtube,control,English,English,19-24 years,1/3/2018,
a100000086,1/3/2018,Youtube,control,English,English,24-30 years,1/3/2018,
a100000087,1/3/2018,Youtube,control,Spanish,Spanish,30-36 years,1/3/2018,
a100000088,1/3/2018,Youtube,control,English,English,36-45 years,1/3/2018,
a100000089,1/3/2018,Youtube,control,German,German,45-55 years,1/3/2018,
a100000090,1/3/2018,Youtube,control,English,English,55+ years,1/3/2018,
a100000091,1/3/2018,Youtube,control,English,English,0-18 years,1/3/2018,
a100000092,1/3/2018,Youtube,control,English,English,19-24 years,1/3/2018,
a100000093,1/3/2018,Youtube,control,English,English,24-30 years,1/3/2018,
a100000094,1/3/2018,Youtube,control,English,English,30-36 years,1/3/2018,
a100000095,1/3/2018,Youtube,control,English,English,36-45 years,1/3/2018,
a100000096,1/4/2018,Youtube,control,English,English,45-55 years,1/4/2018,
a100000097,1/4/2018,Youtube,control,English,English,55+ years,1/4/2018,
a100000098,1/4/2018,Youtube,control,English,English,0-18 years,1/4/2018,
a100000099,1/4/2018,Youtube,control,English,English,19-24 years,1/4/2018,
a100000100,1/4/2018,Youtube,control,Spanish,Spanish,24-30 years,1/4/2018,
a100000101,1/4/2018,Youtube,control,English,English,30-36 years,1/4/2018,
a100000102,1/4/2018,Youtube,control,English,English,36-45 years,1/4/2018,
a100000103,1/4/2018,Youtube,control,Spanish,Spanish,45-55 years,1/4/2018,1/11/2018
a100000104,1/4/2018,Youtube,control,English,English,55+ years,1/4/2018,2/9/2018
a100000105,1/4/2018,Youtube,control,English,English,0-18 years,1/4/2018,3/25/2018
a100000106,1/4/2018,Youtube,control,English,English,19-24 years,1/4/2018,1/6/2018
a100000107,1/4/2018,Youtube,control,English,English,24-30 years,1/4/2018,3/12/2018
a100000108,1/4/2018,Youtube,control,English,English,30-36 years,1/4/2018,3/10/2018
a100000109,1/4/2018,Youtube,control,English,English,36-45 years,1/4/2018,2/14/2018
